ID	nm	lat	lon	countryCode
3169070	Rome	41.894741	12.4839	IT
3173435	Milan	45.464272	9.18951	IT
3172395	Napoli	40.833328	14.25	IT
2950159	Berlin	52.524368	13.41053	DE
2935517	Dortmund	51.51667	7.45	DE
2911298	Hamburg	53.549999	10.0	DE
667268	Sibiu	45.799999	24.15	RO
686254	Arad	46.183331	21.316669	RO
2643743	London	51.50853	-0.12574	GB
2644210	Liverpool	53.41058	-2.97794	GB
2643123	Manchester	53.480949	-2.23743	GB
2988507	Paris	48.853409	2.3488	FR
2996944	Lyon	45.748459	4.84671	FR
3031582	Bordeaux	46.334641	2.76168	FR
3117735	Madrid	40.4165	-3.70256	ES
3128760	Barcelona	41.38879	2.15899	ES
819827	Razvilka	55.591667	37.740833	RU
524901	Moscow	55.752220	37.615555	RU
2973393	Tarascon	43.805828	4.660280	FR
2986678	Ploufragan	48.491409	-2.794580	FR
